cell,patient,predict
non-Th1/Th17  CD4+ T cell,SUB118169,28.61919487
non-Th1/Th17  CD4+ T cell,SUB118170,1011.168463
non-Th1/Th17  CD4+ T cell,SUB118171,581.5620377
non-Th1/Th17  CD4+ T cell,SUB118174,389.909072
non-Th1/Th17  CD4+ T cell,SUB118176,504.7534916
non-Th1/Th17  CD4+ T cell,SUB118183,981.812606
Plasma cells,SUB118148,0.127539879
Plasma cells,SUB118153,0.098565597
Plasma cells,SUB118155,0.597037352
Plasma cells,SUB118156,0.464795899
Plasma cells,SUB118157,0.059031338
Plasma cells,SUB118158,0.124555807
Plasma cells,SUB118161,0.145469623
Plasma cells,SUB118164,0.236254396
Plasma cells,SUB118167,0.039038823
Plasma cells,SUB118168,0.323136086
Plasma cells,SUB118170,0.328178826
Plasma cells,SUB118171,0.52771155
Plasma cells,SUB118174,1.380754829
plasmablast,SUB118148,30.49171285
plasmablast,SUB118151,15.45782369
plasmablast,SUB118153,44.21868071
plasmablast,SUB118155,55.05437717
plasmablast,SUB118156,83.37106655
plasmablast,SUB118157,12.8552187
plasmablast,SUB118158,11.79751591
plasmablast,SUB118161,17.28841723
plasmablast,SUB118164,19.58534707
plasmablast,SUB118167,8.649329096
plasmablast,SUB118168,45.48898527
plasmablast,SUB118169,0
plasmablast,SUB118170,48.23108926
plasmablast,SUB118171,47.77352264
plasmablast,SUB118174,63.64909633
plasmablast,SUB118176,35.80072117
plasmablast,SUB118183,42.28660655
pDCs,SUB118148,89.67279607
pDCs,SUB118151,86.84475732
pDCs,SUB118153,61.20057994
pDCs,SUB118155,57.4818303
pDCs,SUB118156,38.12458202
pDCs,SUB118157,82.62991344
pDCs,SUB118158,128.9728266
pDCs,SUB118161,159.6005533
pDCs,SUB118164,118.8400081
pDCs,SUB118167,78.62781242
pDCs,SUB118168,135.8528161
pDCs,SUB118169,17.15068769
pDCs,SUB118170,49.37020919
pDCs,SUB118171,81.56324898
pDCs,SUB118174,128.0671603
pDCs,SUB118176,134.90088
pDCs,SUB118183,84.29944019
T cells,SUB118148,7725.075127
T cells,SUB118151,10263.32875
T cells,SUB118153,7370.945778
T cells,SUB118155,6657.748829
T cells,SUB118156,6826.650597
T cells,SUB118157,9821.537201
T cells,SUB118158,9333.712173
T cells,SUB118161,6331.474491
T cells,SUB118164,4517.02062
T cells,SUB118167,7376.760246
T cells,SUB118168,10564.6257
T cells,SUB118169,2157.642761
T cells,SUB118170,16246.43231
T cells,SUB118171,15432.97994
T cells,SUB118174,11307.04369
T cells,SUB118176,10073.15234
T cells,SUB118183,17813.87361
Tfh,SUB118148,750.4215723
Tfh,SUB118151,562.6572618
Tfh,SUB118153,461.881098
Tfh,SUB118155,563.8636335
Tfh,SUB118156,870.1579813
Tfh,SUB118157,675.8827761
Tfh,SUB118158,843.1751125
Tfh,SUB118161,837.1177267
